,pixel count,update rate,iterations,kernel size,time rate,detection rate
377,13,15,2,19,77.75469517707825,10.698365527488855
378,13,20,1,7,36.890626192092896,6.438831104507182
379,13,20,1,9,38.01716470718384,20.307082714214957
380,13,20,1,11,49.677016735076904,33.53145121347202
381,13,20,1,13,60.098390340805054,53.04606240713225
382,13,20,1,15,62.576194286346436,55.473006438831106
383,13,20,1,17,64.43857860565186,53.14512134720159
384,13,20,1,19,67.54425716400146,51.21347201584943
385,13,20,2,7,36.863080739974976,51.461119366022785
386,13,20,2,9,39.26029992103577,52.69935611688955
387,13,20,2,11,54.613163232803345,45.81475978207033
388,13,20,2,13,62.765549421310425,38.187221396731054
389,13,20,2,15,64.65817284584045,31.154036651807825
390,13,20,2,17,67.63568663597107,26.54779593858346
391,13,20,2,19,74.8898184299469,10.698365527488855
392,13,25,1,7,35.96411609649658,5.943536404160476
393,13,25,1,9,37.03824329376221,20.950965824665676
394,13,25,1,11,47.85085391998291,33.333333333333336
395,13,25,1,13,59.54432034492493,50.56958890539871
396,13,25,1,15,62.2160325050354,53.24418028727093
397,13,25,1,17,65.27449440956116,52.05547300643883
398,13,25,1,19,66.690598487854,50.61911837543338
399,13,25,2,7,36.305763483047485,49.33135215453195
400,13,25,2,9,40.29945135116577,51.75829618623081
401,13,25,2,11,55.10202598571777,45.76523031203566
402,13,25,2,13,64.39094066619873,38.236750866765725
403,13,25,2,15,65.75637650489807,31.054977711738484
404,13,25,2,17,66.46917581558228,26.399207528479444
405,13,25,2,19,74.36770033836365,10.698365527488855
406,13,30,1,7,35.35500931739807,7.033184744923229
407,13,30,1,9,36.32726693153381,19.316493313521544
408,13,30,1,11,45.626588106155396,32.788509162951954
409,13,30,1,13,60.32196068763733,49.77711738484398
410,13,30,1,15,63.59630036354065,53.789004457652304
411,13,30,1,17,63.69367265701294,52.15453194650817
412,13,30,1,19,66.49819588661194,50.61911837543338
413,13,30,2,7,35.50145363807678,49.0837048043586
414,13,30,2,9,38.49770450592041,52.05547300643883
415,13,30,2,11,59.3047981262207,45.71570084200099
416,13,30,2,13,62.13490915298462,38.335809806835066
417,13,30,2,15,63.6854043006897,31.054977711738484
418,13,30,2,17,66.31045413017273,26.448736998514114
419,13,30,2,19,72.60499215126038,10.698365527488855
420,15,5,1,7,49.242931842803955,16.592372461614662
421,15,5,1,9,50.37497353553772,31.996037642397226
422,15,5,1,11,59.62055444717407,47.25111441307578
423,15,5,1,13,74.96907663345337,56.364536899455175
424,15,5,1,15,76.36389589309692,55.225359088657754
425,15,5,1,17,77.32207727432251,50.9162951956414
426,15,5,1,19,79.83237290382385,50.123823675086676
427,15,5,2,7,48.75773334503174,55.72065378900446
428,15,5,2,9,51.16083073616028,50.56958890539871
429,15,5,2,11,70.94243335723877,45.41852402179297
430,15,5,2,13,75.89443492889404,37.79098563645369
431,15,5,2,15,76.41939854621887,30.65874195146112
432,15,5,2,17,79.7071053981781,26.300148588410103
433,15,5,2,19,84.45286726951599,10.698365527488855
434,15,10,1,7,40.94477415084839,7.627538385339277
435,15,10,1,9,41.76303029060364,22.88261515601783
436,15,10,1,11,50.57011294364929,42.00099058940069
437,15,10,1,13,67.48217296600342,53.888063397721645
438,15,10,1,15,68.75794315338135,54.928182268449724
439,15,10,1,17,69.1878514289856,51.21347201584943
440,15,10,1,19,71.96035265922546,50.27241208519069
441,15,10,2,7,41.23864722251892,53.04606240713225
442,15,10,2,9,43.69090461730957,50.86676572560673
443,15,10,2,11,64.02315473556519,46.161466072313026
444,15,10,2,13,69.32828545570374,38.63298662704309
445,15,10,2,15,69.70216751098633,31.352154531946507
446,15,10,2,17,72.1702470779419,26.498266468548785
447,15,10,2,19,76.8524398803711,10.698365527488855
448,15,15,1,7,38.11059522628784,6.33977216443784
449,15,15,1,9,38.86290907859802,19.61367013372957
450,15,15,1,11,46.99170422554016,36.20604259534423
451,15,15,1,13,64.31988382339478,52.30312035661218
452,15,15,1,15,66.09922003746033,51.21347201584943
453,15,15,1,17,67.79179859161377,52.9470034670629
454,15,15,1,19,69.50420427322388,51.312530955918774
455,15,15,2,7,38.195855140686035,51.6097077761268
456,15,15,2,9,40.595003604888916,52.550767706785535
457,15,15,2,11,62.73515725135803,45.91381872213967
458,15,15,2,13,66.80706071853638,38.335809806835066
459,15,15,2,15,68.06837177276611,31.203566121842496
460,15,15,2,17,69.76970744132996,26.54779593858346
461,15,15,2,19,75.45391130447388,10.698365527488855
462,15,20,1,7,36.441121101379395,6.438831104507182
463,15,20,1,9,37.249008893966675,20.307082714214957
464,15,20,1,11,47.476537466049194,33.53145121347202
465,15,20,1,13,62.839739084243774,53.04606240713225
466,15,20,1,15,64.04679083824158,55.473006438831106
467,15,20,1,17,65.07475018501282,53.14512134720159
468,15,20,1,19,67.47153496742249,51.21347201584943
469,15,20,2,7,36.536399364471436,51.461119366022785
470,15,20,2,9,38.53852033615112,52.69935611688955
471,15,20,2,11,60.10415482521057,45.81475978207033
472,15,20,2,13,64.57419514656067,38.187221396731054
473,15,20,2,15,64.74708843231201,31.154036651807825
474,15,20,2,17,67.46873688697815,26.54779593858346
475,15,20,2,19,72.20705556869507,10.698365527488855
476,15,25,1,7,35.48989963531494,5.943536404160476
477,15,25,1,9,35.98178434371948,20.950965824665676
478,15,25,1,11,44.37917947769165,33.333333333333336
479,15,25,1,13,62.7117657661438,50.56958890539871
480,15,25,1,15,63.95318603515625,53.24418028727093
481,15,25,1,17,63.84506130218506,52.05547300643883
482,15,25,1,19,66.90561532974243,50.61911837543338
483,15,25,2,7,35.91683745384216,49.33135215453195
484,15,25,2,9,37.930630683898926,51.75829618623081
485,15,25,2,11,59.157713890075684,45.76523031203566
486,15,25,2,13,63.240105628967285,38.236750866765725
487,15,25,2,15,64.4537000656128,31.054977711738484
488,15,25,2,17,67.25170612335205,26.399207528479444
489,15,25,2,19,71.43830752372742,10.698365527488855
490,15,30,1,7,35.09444570541382,7.033184744923229
491,15,30,1,9,35.54376482963562,19.316493313521544
492,15,30,1,11,42.652963399887085,32.788509162951954
493,15,30,1,13,61.66765785217285,49.77711738484398
494,15,30,1,15,63.80496311187744,53.789004457652304
495,15,30,1,17,64.26489567756653,52.15453194650817
496,15,30,1,19,66.35101819038391,50.61911837543338
497,15,30,2,7,35.37229561805725,49.0837048043586
498,15,30,2,9,37.5181360244751,52.05547300643883
499,15,30,2,11,58.877126932144165,45.71570084200099
500,15,30,2,13,63.51409578323364,38.335809806835066
501,15,30,2,15,64.05561304092407,31.054977711738484
502,15,30,2,17,66.07030463218689,26.448736998514114
503,15,30,2,19,69.9114191532135,10.698365527488855
